FUNDOS,SETOR,PREÇO ATUAL (R$),LIQUIDEZ DIÁRIA (R$),P/VP,ÚLTIMO DIVIDENDO,DIVIDEND YIELD,DY (3M) ACUMULADO,DY (6M) ACUMULADO,DY (12M) ACUMULADO,DY (3M) MÉDIA,DY (6M) MÉDIA,DY (12M) MÉDIA,DY ANO,VARIAÇÃO PREÇO,RENTAB. PERÍODO,RENTAB. ACUMULADA,PATRIMÔNIO LÍQUIDO,VPA,P/VPA,DY PATRIMONIAL,VARIAÇÃO PATRIMONIAL,RENTAB. PATR. PERÍODO,RENTAB. PATR. ACUMULADA,QUANT. ATIVOS,VOLATILIDADE,NUM. COTISTAS,TAX. GESTÃO,TAX. PERFORMANCE,TAX. ADMINISTRAÇÃO
FZDA11,INDEFINIDO,"122,51","100.192,86","0,56","2,26","1,90 %","1,90 %","1,90 %","1,90 %","1,90 %","1,90 %","1,90 %","1,90 %","0,00 %","0,00 %",N/A,"345.296.358,27","101,94","1,20","2,21 %","0,00 %","0,00 %","0,00 %",0,"41,90",483,N/A,N/A,N/A
GALG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"9,08","3.348.936,50","0,92","0,08","0,90 %","2,69 %","5,40 %","11,03 %","0,90 %","0,90 %","0,92 %","11,03 %","0,54 %","1,44 %","11,01 %","571.710.255,09","9,95","0,91","0,84 %","6,87 %","7,78 %","-89,29 %",5,"9,94",116.119,N/A,N/A,N/A
GAME11,INDEFINIDO,"9,12","154.909,64","0,93","0,10","1,07 %","3,27 %","6,49 %","13,35 %","1,09 %","1,08 %","1,11 %","13,35 %","4,11 %","5,23 %","21,32 %","213.792.004,54","9,85","0,93","1,02 %","0,10 %","1,12 %","-98,82 %",0,"8,59",24.224,N/A,N/A,N/A
GCFF11,FUNDO DE FUNDOS,"69,30","87.694,83","0,89","3,07","0,00 %","2,25 %","5,27 %","11,25 %","0,75 %","0,88 %","0,94 %","3,26 %","0,00 %","0,00 %",N/A,"27.939.468,78","76,43","0,91","0,98 %","-6,08 %","-5,16 %","-9,01 %",0,"11,99",1.759,N/A,N/A,N/A
GCOI11,INDEFINIDO,"98,99","9.899,00","1,02","0,81","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"10.980.821,23",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,356,N/A,N/A,N/A
GCRA11,INDEFINIDO,"73,26","455.733,78","0,74","1,00","1,29 %","3,92 %","7,56 %","15,29 %","1,31 %","1,26 %","1,27 %","15,29 %","6,92 %","8,29 %","-7,51 %","171.893.428,38","98,18","0,75","1,02 %","0,19 %","1,21 %","14,10 %",0,"13,57",7.589,N/A,N/A,N/A
GCRI11,PAPÉIS,"87,48","248.558,28","0,93","0,95","1,07 %","3,26 %","6,49 %","13,64 %","1,09 %","1,08 %","1,14 %","13,64 %","5,35 %","6,48 %","8,55 %","137.628.662,25","94,66","0,92","1,00 %","0,31 %","1,31 %","3,48 %",0,"9,73",4.882,N/A,N/A,N/A
GESE11B,EDUCACIONAL,"1.520,00",N/A,"1,36","1.112,72",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"58.192.036,94","1.119,08","1,36","104,32 %","-36,85 %","29,02 %","33,17 %",1,N/A,56,N/A,N/A,N/A
GGRC11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"114,89","1.299.504,44","1,01","0,90","0,79 %","2,42 %","4,83 %","10,29 %","0,81 %","0,81 %","0,86 %","10,29 %","-0,08 %","0,71 %","8,69 %","1.020.958.046,22","113,05","1,02","0,80 %","-9,10 %","-8,38 %","-5,94 %",17,"13,41",106.576,N/A,N/A,N/A
GLOG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"68,10","77.684,47","0,62","0,63","0,95 %","2,95 %","5,68 %","11,63 %","0,98 %","0,95 %","0,97 %","11,63 %","4,43 %","5,42 %","0,81 %","81.815.284,46",N/A,N/A,N/A,N/A,N/A,N/A,1,"14,69",3.036,N/A,N/A,N/A
GRWA11,INDEFINIDO,"11,68","41.620,58","1,14","0,14","1,18 %","3,78 %","8,00 %","12,31 %","1,26 %","1,33 %","1,37 %","12,31 %","1,28 %","2,48 %","31,57 %","12.854.800,05","10,15","1,15","1,38 %","0,00 %","0,00 %","0,00 %",0,"9,54",2.025,N/A,N/A,N/A
GSFI11,SHOPPINGS,"7,85","884.766,11","0,55","0,00","0,03 %","0,03 %","0,03 %","0,03 %","0,01 %","0,00 %","0,00 %","0,03 %","0,00 %","0,03 %","0,03 %","1.089.412.700,16","11,90","0,66","0,01 %","0,01 %","0,02 %","0,02 %",9,"15,28",8.533,N/A,N/A,N/A
